ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,0,8,0,0,11,0,0,0,0,0
10002,1,1,0,0,0,0,0,0,0,0,0,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10003,2,1,0,0,0,0,0,0,0,0,0,0
10003,3,1,0,0,0,0,0,0,0,0,0,0
10004,1,1,0,23,16,0,0,0,12,0,26,0
10005,1,1,0,0,19,14,24,11,0,0,0,0
10006,1,1,0,0,0,0,0,0,0,0,0,0
10006,2,1,22,0,0,0,0,10,0,0,0,0
10007,1,1,0,0,0,0,0,0,0,0,0,0
10007,2,1,0,15,0,13,5,6,0,0,14,5
10008,1,1,0,0,0,0,0,0,8,0,0,0
10009,1,1,0,0,0,0,0,0,0,0,0,0
10010,0,1,0,0,0,0,0,9,0,0,0,0
10010,1,1,0,0,0,0,0,0,0,0,0,0
10011,1,1,0,0,0,0,0,0,0,0,0,0
10011,2,1,0,0,0,0,0,12,7,7,22,0
10012,1,1,0,0,0,0,0,0,0,0,0,0
10012,2,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,0,0,0,0,0,0,0,0,0,0
10013,2,1,7,7,9,2,16,5,24,25,16,0
10014,1,1,18,18,18,18,18,18,18,18,18,18
10014,2,1,0,0,0,0,0,0,0,0,0,0
10014,3,1,0,0,0,0,0,18,0,0,0,0
10015,1,1,14,14,14,14,14,14,14,14,14,14
10016,1,1,0,0,0,0,0,0,0,0,15,10
10017,1,1,19,19,19,19,19,19,19,19,19,19
10018,1,1,0,18,0,44,22,0,0,0,0,0
10018,2,1,0,0,0,0,0,0,0,0,0,0
10019,1,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,18,18,18,18,18,18,18,18,18,18
10022,1,1,16,16,16,16,16,16,16,16,16,16
10023,1,1,0,0,0,0,0,0,0,0,0,0
10023,2,1,0,0,0,0,0,0,0,0,0,0
10023,3,1,0,0,0,0,0,0,0,0,0,0
10023,4,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,0,0,0,0,0,0,0,0,0,0
10024,2,1,0,0,0,0,0,0,0,0,0,0
10024,3,1,0,0,0,0,0,0,0,0,0,0
10025,1,1,21,11,9,23,7,14,16,27,24,21
10026,1,1,0,0,0,0,0,0,0,0,0,0
10026,2,1,0,0,0,0,0,0,0,0,0,0
10027,0,1,0,0,0,0,0,0,0,0,0,0
10027,1,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,0,0,0,0,0,0,0,0,0,0
10029,1,1,28,28,28,28,28,28,28,28,28,28
10030,1,1,32,32,32,32,32,32,32,32,32,32
10031,1,1,0,0,0,0,0,0,0,0,0,0
10031,2,1,0,0,25,0,0,0,0,0,0,0
10031,3,1,0,0,0,0,0,0,0,0,0,0
10032,1,1,0,0,0,0,0,0,0,0,0,0
10033,1,1,0,24,16,30,16,11,13,15,17,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
10034,2,1,0,11,0,0,0,0,0,0,0,0
10035,1,1,0,9,11,0,15,25,0,0,47,0
10036,1,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,0,0,0,0,0,0,0,0,0,0
10037,2,1,0,0,0,0,0,0,0,0,0,0
10038,1,1,0,0,0,0,0,0,0,0,0,0
10038,2,1,0,0,0,0,0,0,0,0,0,0
10039,1,1,5,5,5,5,5,5,5,5,5,5
10040,0,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,0,0,0,0,0,0,0,0,0,0
10041,1,1,40,40,40,40,40,40,40,40,40,40
10042,1,1,0,0,4,0,8,11,16,0,28,0
10042,2,1,54,0,0,0,4,0,0,0,0,0
10043,1,1,19,14,0,0,0,0,7,0,0,0
10043,2,1,0,0,0,0,0,0,0,0,0,0
10044,1,1,0,0,0,0,0,0,0,0,0,0
10045,1,1,0,0,0,0,0,11,0,0,17,0
10046,0,1,0,0,0,0,0,0,0,0,0,0
10046,1,1,0,0,0,0,0,0,0,0,0,0
10047,1,1,5,5,5,5,5,5,5,5,5,5
10048,1,1,20,20,20,20,20,20,20,20,20,20
10049,1,1,0,0,0,0,0,0,0,0,0,0
10050,1,1,0,0,0,0,0,0,0,0,0,0
10050,2,1,0,0,7,31,0,0,9,0,0,0
10051,1,1,25,25,25,25,25,25,25,25,25,25
10051,2,1,0,0,0,0,0,0,0,0,0,0
10052,1,1,21,0,0,0,0,26,0,0,0,0
10053,0,1,1,1,1,1,1,1,1,1,1,1
10053,1,1,0,0,0,0,0,0,0,0,11,0
10054,1,1,0,0,0,0,0,0,0,0,0,0
10054,2,1,0,0,0,0,0,0,0,0,0,0
10055,1,1,0,0,0,0,0,0,0,0,0,0
10055,2,1,0,0,0,0,0,0,14,0,0,0
10056,1,1,22,22,22,22,22,22,22,22,22,22
10057,1,1,17,17,17,17,17,17,17,17,17,17
10057,2,1,0,0,0,0,0,0,0,0,0,0
10058,1,1,24,0,8,0,0,0,0,0,0,4
10059,1,1,19,9,0,18,0,0,0,9,15,0
